rondo Jana Pawła II;Będzin;50.3149296;19.1139528
ul. Jana Pawła II;Wymysłów;50.40714;18.9890864
ul. Jana Pawła II;Boguchwałowice;50.454613225;19.1818720238483
Plac Jana Pawła II;Czechowice-Dziedzice;49.911432;19.0081656
ul. kard. Karola Wojtyły;Czaniec;49.8471533;19.2612095035203
ul. Jana Pawła II;Wilamowice;49.91616;19.1600747
ul. Jana Pawła II;Dankowice;49.9266093;19.1081200861328
ul. Jana Pawła II;Hecznarowice;49.90874585;19.1749334399483
Rondo Jana Pawła II;Cieszyn;49.7522034;18.6403897
ul. Aleja Jana Pawła II;Skoczów;49.80292;18.7838482
Plac Jana Pawła II;Janów;50.72168;19.4346553
Rondo im. Ojca Świętego Jana Pawła II;Olsztyn;50.7530356;19.2731511
ul. Jana Pawła II;Nierada;50.70582205;19.080685
ul. Jana Pawła II;Kościelec;50.894237275;19.2088660183027
Rondo Jana Pawła II;Knurów;50.2219217;18.670541
al. Jana Pawła II;Pyskowice;50.4061;18.6297089
Rynek im. Jana Pawła II;Kłobuck;50.9048;18.9363607
ul. św. Jana Pawła II;Biała;50.88004;19.0507596
ul. Jana Pawła II;Grodzisko;50.8579388;18.9530775
Rondo Jana Pawła II;Lubliniec;50.6681946;18.6793063
ul. Świętego Jana Pawła II;Łaziska Górne;50.1497008;18.8480291
ul. Jana Pawła II;Mikołów;50.1706;18.9054515
ul. Jana Pawła II;Myszków;50.58292;19.3324284
ul. Jana Pawła II;Gliniana Góra;50.58756;19.2170999
ul. Jana Pawła II;Brzeziny;50.58802015;19.2194508
Rondo Św. Jana Pawła II;Mzyki;50.6126739;19.0800873
ul. Jana Pawła II;Siedlec Duży;50.6306089;19.11918935
ul. Jana Pawła II;Trzebniów;50.6711;19.4351492
Rondo imienia św. Jana Pawła II;Poraj;50.67786;19.2148921
Plac im. Jana Pawła II;Żarki;50.6259;19.3648191
Plac Papieża Jana Pawła II;Gilowice;49.995573575;19.0778491566176
ul. św. Jana Pawła II;Jankowice;49.9950239;19.0778907
ul. św. Jana Pawła II;Studzienice;50.017139175;18.9822339877078
ul. Jana Pawła II;Kobielice;50.0027848;18.8529626
ul. Jana Pawła II;Racibórz;50.081716975;18.1939736224401
ul. Jana Pawła II;Nędza;50.1615662;18.3100472
ul. Jana Pawła II;Pietrowice Wielkie;50.0867657;18.0984200418933
ul. Jana Pawła II;Czerwionka-Leszczyny;50.1480473;18.6830979
ul. Jana Pawła II;Kalety;50.5597697;18.8721712
Rondo Świętego Jana Pawła II;Kalety;50.5798837;18.8596106
pl. Jana Pawła II;Radzionków;50.4023345;18.9022903
ul. Aleja Jana Pawła II;Tarnowskie Góry;50.00756;18.9873725
ul. Jana Pawła II;Tąpkowice;50.4531256;19.0166903
ul. Świętego Jana Pawła II;Wojska;50.4861104;18.6620433
Plac św. Jana Pawła II;Pszów;50.44342;18.8241115
ul. Jana Pawła II;Wodzisław Śląski;50.00787445;18.4719704971953
ul. Jana Pawła II;Skrzyszów;50.03978;18.3953044
ul. Jana Pawła II;Gorzyce;49.959785625;18.409857475
ul. Jana Pawła II;Turza Śląska;49.93854;18.4979962
Plac Jana Pawła II;Zawiercie;49.9704;18.4452704
ul. Jana Pawła II;Kroczyce;50.5564079;19.5763058009995
Skwer Jana Pawła II;Łazy;50.42894;19.3979942
ul. Jana Pawła II;Pilica;50.471977;19.6614227
Plac Św. Jana Pawła II;Kidów;50.48062;19.4247783
ul. Jana Pawła II;Szczekociny;50.623391175;19.8224168348955
ul. Aleja Jana Pawła II;Żywiec;50.50584;19.7002014
ul. Jana Pawła II;Czernichów;49.7519594;19.20300985
ul. Jana Pawła II;Krzyżowa;49.60105225;19.3338645
Plac Jana Pawła II;Leśna;49.6879;19.1919135
ul. Jana Pawła II;Lipowa;49.67106;19.13759
Aleja Jana Pawła II;Łękawica;49.69132;19.084719
ul. Jana Pawła II;Bierna;49.7233;19.2645966
ul. Jana Pawła II;Łodygowice;49.72304;19.1661462
ul. Jana Pawła II;Pietrzykowice;49.72494;19.1545552
ul. Jana Pawła II;Zarzecze;49.72058338361838;19.16974547702629
ul. Jana Pawła II;Pewel Mała;49.6953;19.1580122
ul. Jana Pawła II;Rychwałdek;49.66906;19.281068
ul. Jana Pawła II;Cięcina;49.6199622;19.14029975
al. Aleje św. Jana Pawła II;Bielsko-Biała;49.8156685;19.0828186
al. Jana Pawła II;Bytom;50.3484757;18.9395239
Rondo im. św. Jana Pawła II;Chorzów;49.67844;19.2982946
Aleja Jana Pawła II;Częstochowa;50.81787505;19.1173719656371
Plac Papieża Jana Pawła II;Częstochowa;50.30072;18.9457729
ul. Św. Jana Pawła II;Dąbrowa Górnicza;50.8094;19.1271901
ul. Jana Pawła II;Gliwice;50.3744;19.2452493
ul. Aleja Jana Pawła II;Jastrzębie-Zdrój;49.947655575;18.5824610045504
ul. Jana Pawła II;Jaworzno;50.195277;19.2705464
ul. Świętego Jana Pawła II;Katowice;50.2719;18.9751424
Plac świętego Jana Pawła II;Katowice;50.2527671;19.0189286
Plac Świętego Jana Pawła II;Mysłowice;50.2428326;19.1117936
ul. Papieża Jana Pawła II;Piekary Śląskie;50.39207005;18.9604043470685
Plac Jana Pawła II;Ruda Śląska;50.29226;18.6679096
Plac Jana Pawła II;Rybnik;50.0978356;18.5482747
ul. Jana Pawła II;Siemianowice Śląskie;50.305655925;19.0261904909358
pl. Papieża Jana Pawła II;Sosnowiec;50.28406;19.1815717
rondo Jana Pawła II;Sosnowiec;50.30487705;19.09644945
rondo im. Świętego Jana Pawła II;Świętochłowice;50.2833468;18.9132084
Aleja Jana Pawła II;Tychy;50.111259325;18.9891412919537
Aleja św. Jana Pawła II;Zabrze;50.2921716;18.794602
ul. Aleja Jana Pawła II;Żory;50.027487825;18.6832022685337
